instance,algorithm,demo_id,iteration,n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,elite_ratio,improvement_rate,dynamic_orders,avg_delay,load_imbalance,alpha,beta,gamma,improvement,fitness_after
P-n16-k8,pso,0,47,15,1,16.4,8.138795979750322,35,100,0.01,0.94,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.852,0.2360000000000001,0.34800000000000003,0.0,475.7724340103465
P-n16-k8,pso,0,48,15,1,16.4,8.138795979750322,35,100,0.01,0.96,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.868,0.2240000000000001,0.332,0.0,475.7724340103465
P-n16-k8,pso,0,49,15,1,16.4,8.138795979750322,35,100,0.01,0.98,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.884,0.21200000000000008,0.316,0.0,475.7724340103465
P-n16-k8,pso,1,0,15,1,16.4,8.138795979750322,35,100,0.01,0.0,1000.0,1000.0,100.0,0.0,0,0.5,0.1,0,0,0,0,0.1,0.8,0.3,0.0,475.7724340103465
P-n16-k8,pso,1,1,15,1,16.4,8.138795979750322,35,100,0.01,0.02,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.116,0.788,0.316,0.0,475.7724340103465
P-n16-k8,pso,1,2,15,1,16.4,8.138795979750322,35,100,0.01,0.04,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.132,0.776,0.33199999999999996,0.0,475.7724340103465
P-n16-k8,pso,1,3,15,1,16.4,8.138795979750322,35,100,0.01,0.06,475.7724340103465,475.77243401034656,100.0,0.0,0,0.5,0.1,0,0,0,0,0.14800000000000002,0.764,0.348,0.0,475.7724340103465
P-n16-k8,pso,1,4,15,1,16.4,8.138795979750322,35,100,0.01,0.08,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.164,0.752,0.364,0.0,475.7724340103465
P-n16-k8,pso,1,5,15,1,16.4,8.138795979750322,35,100,0.01,0.1,475.7724340103465,475.7724340103465,100.0,0.0,0,0.5,0.1,0,0,0,0,0.18000000000000002,0.74,0.38,0.0,475.7724340103465
P-n16-k8,pso,1,6,15,1,16.4,8.138795979750322,35,100,0.01,0.12,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.196,0.7280000000000001,0.396,0.0,475.7724340103465
P-n16-k8,pso,1,7,15,1,16.4,8.138795979750322,35,100,0.01,0.14,475.7724340103465,475.77243401034644,100.0,0.0,0,0.5,0.1,0,0,0,0,0.21200000000000002,0.7160000000000001,0.41200000000000003,0.0,475.7724340103465
